especie_a,especie_b,relacion,valor,mecanismo,procedencia,fuente,notas
pinus_oocarpa,theobroma_cacao,antagonismo,-2,alelopatia,derivado,"FAO-PO;literatura-alelopatia-pino","Compuestos terpénicos de pino inhiben plantas de sotobosque; incompatibilidad documentada con cultivos bajo rodal"
pinus_oocarpa,coffea_arabica,antagonismo,-1,alelopatia,derivado,"FAO-PO;literatura-pino","Acidificación del suelo por litter de pino perjudica café; alelopatía moderada"
juglans_neotropica,theobroma_cacao,antagonismo,-2,alelopatia,derivado,"IUCN-JN;Wikipedia-JN","Juglona (5-hidroxinaftaleno-1,4-diona) inhibe plantas sensibles en el entorno del nogal"
juglans_neotropica,psidium_guajava,antagonismo,-1,alelopatia,derivado,"PFAF-JN;literatura-juglona","Guayaba moderadamente tolerante; reducción crecimiento documentada para juglona"
cecropia_obtusifolia,swietenia_macrophylla,facilitacion,2,nodriza_sombra,investigado,"Useful-Tropical-CO;restauracion-activa","Cecropia crea microclima de sotobosque ideal para establecimiento de caoba; nodriza clásica"
cecropia_obtusifolia,cedrela_odorata,facilitacion,2,nodriza_sombra,investigado,"restauracion-activa;CATIE-rest","Pionera facilita establecimiento de cedro en restauración; reduce presión de Hypsipyla en fases jóvenes"
ochroma_pyramidale,swietenia_macrophylla,facilitacion,1,nodriza_sombra,derivado,"PFAF-OP;restauracion-secundaria","Balsa como nodriza temporal; caoba establecida bajo balsa en restauración rápida"
schizolobium_parahyba,theobroma_cacao,facilitacion,1,nodriza_sombra,derivado,"CABI-SP;agroforesteria-derivado","Schizolobium provee sombra temporal rápida para cacao joven antes de establecer sombra permanente"
inga_edulis,cedrela_odorata,facilitacion,1,nodriza_sombra,derivado,"WorldAgroforestry-Inga;CATIE-CO","Inga acompaña cedro en SAF; sombra difusa y N del suelo benefician cedro"
mimosa_scabrella,vochysia_guatemalensis,facilitacion,1,fijacion_N,derivado,"WorldAgroforestry-MS;ResearchGate-VG","Bracatinga pionera fija N y mejora suelo para establecimiento de especies climax como Vochysia"
leucaena_leucocephala,guazuma_ulmifolia,facilitacion,1,complementariedad_estrato,investigado,"Springer-LEU-GUA;lrrd-sist","Combinación en bancos forrajeros; leucaena aporta N; mutamba aporta biomasa; complementarios"
albizia_saman,guazuma_ulmifolia,facilitacion,1,complementariedad_estrato,derivado,"Winrock-AS;Springer-GU","Samán emergente con copa ancha; mutamba subdosel; complementariedad en sistemas silvopastoriles"
brosimum_alicastrum,theobroma_cacao,facilitacion,1,atrae_fauna,investigado,"Useful-Tropical-BA;Feedipedia-BA","Ramón produce frutos que atraen fauna dispersora de semillas; alta biodiversidad bajo su dosel"
cordia_alliodora,theobroma_cacao,facilitacion,2,complementariedad_estrato,investigado,"WorldAgroforestry-CA;Springer-CA-cacao","Laurel-cacao-plátano: asociación clásica en Costa Rica y Honduras; índice de sitio alto"
gliricidia_sepium,leucaena_leucocephala,facilitacion,1,complementariedad_estrato,derivado,"Winrock-GS;Frontiers-L","Ambas fijadoras de N; estratos diferentes; en callejones pueden complementarse sin competencia severa"
erythrina_poeppigiana,cedrela_odorata,facilitacion,1,fijacion_N,derivado,"WorldAgroforestry-EP;CATIE-CO","Erythrina como sombra temporal para cedro joven; N del suelo beneficia cedro en establecimiento"
tectona_grandis,coffea_arabica,antagonismo,-1,competencia_luz,derivado,"Useful-Tropical-TG;derivado-heliofila","Teca heliófila exigente; compite con café por luz; no recomendada como sombra de café"
eucalyptus_grandis,acacia_mangium,facilitacion,1,fijacion_N,investigado,"AnnForSci-AM-Eucalyptus;SciDirect-AM-mix","Acacia fija N que eucalipto usa; eucalipto crece más rápido en mezcla; interacción mutualista documentada"
