id,nombre_cientifico,nombre_comun,familia,descripcion_breve,clima,temp_min_c,temp_max_c,precip_min_mm,precip_max_mm,ph_min,ph_max,tolerancia_sequia,tolerancia_sombra,zona_usda_min,zona_usda_max,estrato_dosel,altura_madura_m_min,altura_madura_m_max,diam_copa_m,sistema_raiz,tasa_crecimiento,fija_nitrogeno,co2_kg_arbol_anio,estado_sucesional,valor_biodiversidad,uso,estatus_iucn,densidad_arboles_ha,precio_plantula_usd,disponibilidad,verificacion,fuente,notas
tectona_grandis,Tectona grandis,Teca,Lamiaceae,"Maderable exótica de alta demanda comercial; plantaciones intensivas en América tropical; requiere suelo profundo fértil",tropical_humedo,20,36,1250,2500,6.5,7.5,media,0,10,12,dosel,20,45,15,profundo,rapida,no,60,secundaria_temprana,1,"madera",LC,400,1.5,alta,V,"Useful-Tropical-TG;VIRIAR-TG;ResearchGate-TG","Nativa de Asia; ampliamente plantada en Latinoamérica; CO2 estimado (E); pH óptimo 6.5-7.5"
eucalyptus_grandis,Eucalyptus grandis,Eucalipto grandis,Myrtaceae,"Árbol exótico de rápido crecimiento; alelopático; suprime sotobosque vía fenoles; plantaciones industriales",subtropical,2,31,1000,2500,4.5,7.5,media,0,8,11,emergente,25,55,15,profundo,rapida,no,70,secundaria_temprana,1,"madera;restauracion",LC,1111,0.8,alta,V,"Useful-Tropical-EG;Springer-EG-allelopathy;SciDirect-EG","Alelopático: fenoles, terpenos reducen diversidad sotobosque; CO2 estimado (E); competidor fuerte"
pinus_oocarpa,Pinus oocarpa,Pino de Colorado,Pinaceae,"Pino tropical centroamericano de alta adaptabilidad altitudinal; madera resinosa; alelopático bajo rodales densos",tropical_humedo,15,24,700,3000,4.0,6.5,alta,0,9,11,dosel,15,35,10,profundo,media,no,40,secundaria_tardia,1,"madera;restauracion",LC,1600,0.5,alta,V,"Useful-Tropical-PO;FAO-PO;Conifers-DB-PO","Distribución 350-2500 m snm; alelopatía documentada en literatura; CO2 estimado (E)"
albizia_saman,Albizia saman,Samán/Cenizaro,Fabaceae,"Árbol de copa umbelada monumental; N-fijador; pods palatables para ganado; sombra en silvopastoral",tropical_seco,16,35,650,2500,5.0,8.0,alta,0,10,13,emergente,20,45,35,profundo,media,si,90,secundaria_tardia,3,"sombra;forraje;fijadora_N;multiuso",LC,25,2.0,media,V,"Winrock-AS;ResearchGate-SS;CABI-SS","Copa hasta 50+ m en ejemplares maduros; gramíneas bajo copa más verdes y nutritivas; CO2 estimado (E)"
gmelina_arborea,Gmelina arborea,Melina,Lamiaceae,"Maderable exótica de turno corto; alta adaptabilidad; plantaciones comerciales en Costa Rica y América Central",tropical_humedo,21,28,750,5000,4.5,8.0,media,1,10,13,dosel,15,35,12,profundo,rapida,no,50,secundaria_temprana,1,"madera",LC,1111,1.0,alta,V,"Useful-Tropical-GA;SciDirect-GA;CABI-GA","Origen Asia tropical; MAI 3.6 m/año en Ecuador; CO2 estimado (E)"
persea_americana,Persea americana,Aguacate,Lauraceae,"Árbol frutal multipropósito de valor alimentario; sombreador; sistemas agroforestales mesoandinos",subtropical,8,30,500,2000,5.5,7.0,media,1,9,11,dosel,10,20,12,profundo,media,no,30,climax,2,"fruto;sombra;multiuso",LC,150,2.5,alta,V,"WorldAgroforestry-PA;Useful-Tropical-PA;Gardenia-PA","Sensible a encharcamiento; 3 razas (mexicana, guatemalteca, antillana); CO2 estimado (E)"
mangifera_indica,Mangifera indica,Mango,Anacardiaceae,"Árbol frutal exótico ampliamente naturalizado; copa frondosa; sombra y fruto para fauna y humanos",tropical_humedo,18,35,300,2600,5.5,7.5,alta,1,10,12,dosel,15,25,15,profundo,media,no,30,climax,2,"fruto;sombra;multiuso",LC,100,2.0,alta,V,"WorldAgroforestry-MI;Useful-Tropical-MI;CABI-MI","Origen Asia; naturalizado en Latinoamérica; requiere estación seca para floración; CO2 estimado (E)"
psidium_guajava,Psidium guajava,Guayaba,Myrtaceae,"Arbusto-árbol frutal nativo; coloniza potreros degradados; fruto muy consumido por fauna silvestre",tropical_humedo,10,35,1000,2000,4.5,7.5,alta,1,9,11,sotobosque,4,10,6,superficial,rapida,no,12,secundaria_temprana,3,"fruto;restauracion;multiuso",LC,200,0.5,alta,V,"Useful-Tropical-PG;WorldAgroforestry-PG;IUCN-PG","Pionera de potreros; atrae aves y murciélagos; IUCN LC; CO2 estimado (E)"
annona_muricata,Annona muricata,Guanábana,Annonaceae,"Árbol frutal del sotobosque tropical húmedo; fruto de alto valor medicinal y alimentario; tolerante a sombra parcial",tropical_humedo,18,30,1000,2500,5.5,7.0,baja,2,10,12,sotobosque,4,10,7,superficial,media,no,12,climax,2,"fruto;multiuso",LC,150,1.5,alta,V,"WorldAgroforestry-AM;Useful-Tropical-AM;Maxapress-AM","Óptimo <400 m snm; sensible a heladas; CO2 estimado (E)"
byrsonima_crassifolia,Byrsonima crassifolia,Nance/Murici,Malpighiaceae,"Árbol-arbusto del bosque tropical seco y sabanas; fruto aromático; resistente al fuego y sequía; biodiversidad alta",tropical_seco,18,35,600,1800,4.0,6.5,alta,1,10,12,subdosel,3,10,6,profundo,lenta,no,10,secundaria_tardia,2,"fruto;restauracion;multiuso",LC,200,0.5,alta,V,"WorldAgroforestry-BC;Useful-Tropical-BC;Wikipedia-BC","Resistente a quema; pinares abiertos y sabanas; CO2 estimado (E)"
ochroma_pyramidale,Ochroma pyramidale,Balsa,Malvaceae,"Pionera ultrarrápida; madera más liviana del mundo; coloniza claros y deslizamientos; establece dosel rápido para sucesión",tropical_humedo,18,32,1500,4000,4.5,7.5,baja,0,10,12,dosel,15,30,12,superficial,rapida,no,30,pionera,2,"madera;restauracion",LC,600,0.3,alta,V,"PFAF-OP;Useful-Tropical-OP;SciDirect-OP","Crece 1.8-4.5 m/año en primer año; árbol nodriza para restauración; vida corta 30-40 años; CO2 estimado (E)"
schizolobium_parahyba,Schizolobium parahyba,Pachaco/Guapiruvu,Fabaceae,"Pionero de crecimiento rapidísimo; porte elegante; plantaciones de restauración y sombrío temporal",tropical_humedo,18,32,1200,3000,4.5,7.0,baja,0,10,12,emergente,20,35,15,profundo,rapida,no,50,pionera,2,"madera;restauracion;sombra",LC,400,0.5,alta,V,"CABI-SP;Useful-Tropical-SP;Wikipedia-SP","Puede crecer hasta 3-6 m/año; IUCN LC; no fija N a pesar de ser Fabaceae; CO2 estimado (E)"
juglans_neotropica,Juglans neotropica,Nogal andino,Juglandaceae,"Árbol maderable andino en peligro; juglona inhibe plantas en su entorno; crecimiento lento; alto valor ecológico",montano,10,22,1000,2500,5.5,7.5,media,1,8,10,emergente,20,40,15,profundo,lenta,no,45,climax,3,"madera;restauracion;ornamental",EN,20,4.0,baja,V,"IUCN-JN;Wikipedia-JN;MDPI-JN","IUCN EN; >50% poblaciones perdidas últimas 3 décadas; juglona inhibe competidores; CO2 estimado (E)"
vochysia_guatemalensis,Vochysia guatemalensis,Chancho blanco,Vochysiaceae,"Maderable nativa CR; crece en suelos ácidos y anegados; alta biomasa; interesante para reforestación riparia",tropical_humedo,18,30,2000,4500,4.0,6.0,baja,1,10,12,dosel,20,40,15,tablar,rapida,no,50,secundaria_tardia,2,"madera;restauracion",LC,400,1.5,media,V,"WorldAgroforestry-VG;ResearchGate-VG;IAState-VG","Tolera suelos anegados estacionalmente; específica para bajas altitudes húmedas CR-Panamá; CO2 estimado (E)"
terminalia_amazonia,Terminalia amazonia,Amarillón,Combretaceae,"Árbol emergente de gran porte; maderable de alta calidad; plantaciones tropicales húmedas CR y Mesoamérica",tropical_humedo,18,32,2000,4500,4.5,7.0,baja,1,10,12,emergente,30,70,20,tablar,media,no,90,climax,2,"madera;restauracion",LC,100,2.0,media,V,"RNGR-TA;Useful-Tropical-TA;CATIE-TA","Puede alcanzar 70 m en México; maderable premium; CO2 estimado (E)"
calophyllum_brasiliense,Calophyllum brasiliense,Santa María,Calophyllaceae,"Maderable de sitios húmedos y riparios; alta tolerancia a inundación temporal; madera rosa-rojiza similar a caoba",tropical_humedo,18,30,1500,6000,4.5,7.0,baja,2,10,12,dosel,20,50,18,tablar,media,no,55,secundaria_tardia,2,"madera;restauracion",LC,100,2.0,media,V,"WorldAgroforestry-CB;Useful-Tropical-CB;Wikipedia-CB","IUCN LC; crece en suelos de arena y roca arenisca; CO2 estimado (E)"
hyeronima_alchorneoides,Hyeronima alchorneoides,Pilón,Phyllanthaceae,"Maderable pesado-durable de alto valor; copa ancha; importante para fauna; tolerante a sombra lateral",tropical_humedo,18,30,2000,4000,4.5,6.5,baja,2,10,12,dosel,25,35,18,profundo,media,no,55,climax,3,"madera;restauracion",LC,80,2.5,baja,V,"CRTrees-HA;CATIE-HA;ResearchGate-HA","Proporciona forraje y hábitat para amplia fauna; CO2 estimado (E)"
virola_koschnyi,Virola koschnyi,Fruta dorada,Myristicaceae,"Maderable de dosel húmedo; dioico; importante para fauna por frutos; plywood de exportación",tropical_humedo,18,32,2500,5000,4.5,6.5,baja,2,10,12,dosel,20,40,18,tablar,media,no,55,climax,3,"madera;restauracion",LC,60,3.0,baja,P,"Useful-Tropical-VK;CRTrees-VK;SciDirect-VK","Especie dioica: plantar ambos sexos; abundante en bosques muy húmedos; CO2 estimado (E)"
brosimum_alicastrum,Brosimum alicastrum,Ramón/Ojoche,Moraceae,"Árbol de dosel de alta biodiversidad; semilla muy nutritiva; árbol sagrado maya; tolerante a sombra",tropical_humedo,18,27,650,4000,5.0,7.5,media,3,10,12,dosel,25,45,20,tablar,lenta,no,55,climax,3,"fruto;restauracion;forraje;multiuso",LC,50,1.5,media,V,"Useful-Tropical-BA;Wikipedia-BA;Feedipedia-BA","Produce 50-75 kg fruto/árbol/año; semilla 8.8-12.1% proteína; CO2 estimado (E)"
simarouba_amara,Simarouba amara,Aceituno/Marupá,Simaroubaceae,"Maderable y oleaginosa tropical; tolerante a sequía moderada; madera ligera para triplay; distribución amazónica y CA",tropical_humedo,10,40,1500,3000,5.0,7.0,media,1,10,12,dosel,15,42,15,profundo,media,no,45,secundaria_tardia,2,"madera;restauracion;multiuso",LC,100,2.0,media,V,"Useful-Tropical-SA;Wikipedia-SA;ITTO-SA","IUCN LC; madera comercializada como Marupá en Brasil; aceite de semilla; CO2 estimado (E)"
acacia_mangium,Acacia mangium,Acacia mangium,Fabaceae,"Leguminosa exótica de rápido crecimiento; fija N; mejora suelos ácidos; frecuente en mezclas con eucalipto",tropical_humedo,18,32,1400,3000,3.5,6.5,media,0,10,12,dosel,20,30,12,profundo,rapida,si,50,pionera,1,"madera;fijadora_N;restauracion",LC,1111,0.6,alta,V,"Winrock-AM;AnnForSci-AM;SciDirect-AM","Nativa de Australia/Papua; fija N con Rhizobium/Bradyrhizobium; más eficiente en mezclas con Eucalyptus; CO2 estimado (E)"
mimosa_scabrella,Mimosa scabrella,Bracatinga,Fabaceae,"Pionera N-fijadora del sur de Brasil; asociación con Araucaria; rápido crecimiento; enriquece suelos degradados",subtropical,10,25,1200,2500,4.5,7.0,media,0,8,11,subdosel,8,15,8,superficial,rapida,si,25,pionera,2,"fijadora_N;restauracion;multiuso",LC,1600,0.4,media,V,"WorldAgroforestry-MS;AgroSystems-MS;Wikipedia-MS","Endémica sur de Brasil; crece 5 m en 14 meses; bosque mixto con Araucaria; CO2 estimado (E)"
guazuma_ulmifolia,Guazuma ulmifolia,Mutamba/Caulote,Malvaceae,"Árbol multipropósito de bosque seco; forraje apetecible; coloniza pasturas degradadas; tolerante a poda",tropical_seco,18,34,600,2500,5.0,8.0,alta,1,10,13,subdosel,4,15,10,superficial,rapida,no,18,secundaria_temprana,2,"forraje;sombra;restauracion;multiuso",LC,300,0.4,alta,V,"Winrock-GU;SciDirect-GU;Useful-Tropical-GU","Crece hasta 1200 m en Guatemala; forraje de alta calidad en época seca; CO2 estimado (E)"
theobroma_cacao,Theobroma cacao,Cacao,Malvaceae,"Árbol subyacente de sistemas agroforestales; requiere sombra obligatoria cuando joven; altísimo valor económico",tropical_humedo,18,32,1200,2500,5.0,7.5,baja,3,10,12,sotobosque,4,10,6,superficial,media,no,15,climax,3,"fruto;multiuso",LC,1000,2.0,alta,V,"SciDirect-TC;Frontiers-TC;IntechOpen-TC","Requiere 30-50% sombra; suelo bien drenado; temperatura óptima 20-32°C; CO2 estimado (E)"
coffea_arabica,Coffea arabica,Café arábica,Rubiaceae,"Arbusto de alto valor; sistema agroforestal de sombra; crece bajo dosel; altitudes 600-2000 m en Latinoamérica",montano,16,24,1200,2500,5.5,6.5,baja,3,9,11,sotobosque,2,5,3,superficial,media,no,8,climax,2,"fruto;multiuso",LC,2000,1.0,alta,V,"Springer-CA;SciDirect-CA;Academia-CA","Requiere 21-56% cobertura sombra; altitud 600-2000 m snm; CO2 estimado (E)"
dalbergia_retusa,Dalbergia retusa,Cocobolo,Fabaceae,"Maderable de altísimo valor; madera de densidad extrema; especie amenazada por sobreexplotación; crece lentamente",tropical_humedo,18,32,1200,3000,5.5,7.5,media,2,10,12,dosel,10,20,12,profundo,lenta,no,25,climax,3,"madera",VU,20,8.0,baja,V,"IUCN-DR;Useful-Tropical-DR","IUCN VU; madera de cocobolo cotizada en instrumentos musicales; CO2 estimado (E)"
cecropia_obtusifolia,Cecropia obtusifolia,Guarumo/Yarumo,Urticaceae,"Pionera ultrarrápida de claros; alimento de murciélagos y aves; nodriza excelente en restauración activa",tropical_humedo,18,32,1500,4000,4.5,7.5,baja,0,10,12,subdosel,5,20,8,superficial,rapida,no,25,pionera,3,"restauracion",LC,600,0.2,alta,V,"Useful-Tropical-CO;Wikipedia-CO","Simbiosis con hormigas Azteca; pionera obligada; fruto consumido por 40+ sp. aves/mamíferos; CO2 estimado (E)"
acaciella_angustissima,Acaciella angustissima,Timbre,Fabaceae,"Arbusto-árbol N-fijador de zonas secas; restauración de laderas; tolerante a suelos pobres y sequía",tropical_seco,15,35,600,1800,4.5,7.5,alta,0,9,12,sotobosque,2,6,4,profundo,rapida,si,10,pionera,1,"fijadora_N;restauracion",LC,1000,0.3,alta,P,"Useful-Tropical-AA;Wikipedia-AA","Útil en restauración de suelos degradados; fija N; CO2 estimado (E)"
sterculia_apetala,Sterculia apetala,Panamá,Malvaceae,"Árbol nativo de dosel; semillas consumidas por fauna; árbol nacional de Panamá; zonas bajas tropicales",tropical_humedo,18,32,1200,3000,5.0,7.5,media,1,10,12,dosel,15,30,20,tablar,media,no,40,climax,3,"restauracion;ornamental;multiuso",LC,50,1.5,baja,P,"Useful-Tropical-SA;Wikipedia-SA","Árbol nacional de Panamá; semillas nutritivas; CO2 estimado (E)"
tamarindus_indica,Tamarindus indica,Tamarindo,Fabaceae,"Árbol frutal exótico resistente a sequía; sombra densa; fruto muy apreciado; amplísima distribución tropical",tropical_seco,20,38,500,1500,5.5,8.5,alta,1,10,12,dosel,10,25,15,profundo,lenta,no,25,climax,2,"fruto;sombra;forraje;multiuso",LC,100,1.0,alta,V,"Useful-Tropical-TI;WorldAgroforestry-TI","Origen África/Asia; tolerante a suelos alcalinos; excelente para zonas áridas-subhúmedas; CO2 estimado (E)"
acrocarpus_fraxinifolius,Acrocarpus fraxinifolius,Cedro rosado,Fabaceae,"Maderable exótico de rápido crecimiento; copa alta; sombra para café en Colombia y Centroamérica",tropical_humedo,15,28,1200,2500,5.0,7.0,media,1,9,12,dosel,25,50,15,profundo,rapida,no,55,secundaria_temprana,1,"madera;sombra",LC,200,1.2,media,P,"Useful-Tropical-AF;ResearchGate-AF","Origen Asia; plantado en LAC para sombra de café; rápido crecimiento 3+ m/año; CO2 estimado (E)"
cupressus_lusitanica,Cupressus lusitanica,Ciprés de México,Cupressaceae,"Conífera subtropical; cortinas rompevientos; reforestación de montaña; tolerante a frío y altitud",montano,5,25,1000,2500,5.0,7.5,media,1,8,10,dosel,15,30,8,profundo,media,no,35,secundaria_tardia,1,"madera;restauracion;ornamental",LC,1000,0.5,alta,V,"Useful-Tropical-CL;Wikipedia-CL","Nativa México-Guatemala; ampliamente plantada en Andes; rompevientos eficaz; CO2 estimado (E)"
spathodea_campanulata,Spathodea campanulata,Tulipán africano,Bignoniaceae,"Árbol ornamental exótico invasor en algunos países; floración roja espectacular; atrae colibríes y abejas",tropical_humedo,18,32,1200,3000,5.0,7.5,baja,1,10,12,dosel,10,25,12,profundo,rapida,no,30,secundaria_temprana,2,"ornamental",LC,100,1.0,media,V,"Useful-Tropical-SC;Wikipedia-SC","Nativa de África; invasora documentada en islas del Pacífico y el Caribe; atrae polinizadores; CO2 estimado (E)"
