especie_a,especie_b,relacion,valor,mecanismo,procedencia,fuente,notas
abeja_melif,abeja_stingless,neutral,0,polinizacion,investigado,annualreviews-meliponini; PMC11066017; britannica-stingless,Competencia parcial por recursos florales; en policultivo tropical diverso hay suficiente oferta floral para ambas; meliponas acceden a flores pequenas que Apis no visita eficientemente
cerdo_tropical,gallina_criolla,antagonismo,-1,riesgo_sanitario_compartido,investigado,frontiersin-influenza; PMC7917534; PMC7397882-chile,Cerdo actua como vaso mezclador de virus influenza; proximidad con aves en traspatio eleva riesgo de recombinacion viral; bioseguridad critica en sistemas mixtos
cerdo_tropical,gallina_ponedora,antagonismo,-2,riesgo_sanitario_compartido,investigado,frontiersin-influenza; PMC7397882-chile; MDPI-cases,Riesgo maximo: instalaciones contiguas o compartidas aumentan probabilidad de transmision de influenza A; recombinaciones aviar-porcina documentadas en LA
cerdo_tropical,pato_criollo,antagonismo,-2,riesgo_sanitario_compartido,investigado,frontiersin-influenza; PMC7917534,Patos son reservorios naturales de influenza aviar; en contacto con cerdos es el escenario de mayor riesgo de recombinacion con potencial pandemico; separacion estricta requerida
cerdo_tropical,vaca_carne_cebu,neutral,0,disturbio_estres,derivado,FAO-pig-tropics; FAO-integrated,Escasa interaccion en sistemas bien diseñados; cerdos en confinamiento y bovinos en pastizal; sin competencia ni beneficio directo documentado
lombriz_eisenia,cerdo_tropical,sinergia,2,reciclaje_estiercol,investigado,springer-eisenia; oregonstate-worm; FAO-composting,Lombrices procesan estiercol de cerdo produciendo vermicompost rico en N-P-K; cierran ciclo de nutrientes en finca; biomasa de lombriz puede usarse como pienso proteico para aves y peces
lombriz_eisenia,gallina_criolla,sinergia,1,reciclaje_estiercol,investigado,springer-eisenia; FAO-composting,Lombrices procesan gallinaza; gallinas pueden consumir lombrices como fuente proteica; doble beneficio de reciclaje y nutricion
vaca_carne_cebu,bufalo_agua,neutral,0,competencia_pasto,derivado,PMC8909038; PMC10079919,En mismas pasturas pueden competir por forraje; sin embargo bufalo aprovecha zonas encharcadas inaccesibles al bovino; complementariedad espacial posible en fincas con gradiente hidrico
oveja_pelibuey,cuy_cobayo,neutral,0,disturbio_estres,derivado,sciencedirect-guinea-pig; roysfarm-pelibuey,Sin interaccion directa documentada; cuy en confinamiento interior y oveja en pastizal; residuos de cuy pueden compostar con estiercol ovino
caballo,vaca_carne_cebu,antagonismo,-1,competencia_pasto,investigado,permaculture-brazil; FAO-equine,Caballos y bovinos compiten por forraje de calidad; caballos tienen menor eficiencia digestiva; en pastizal limitado generan sobrecarga; rotacion o separacion recomendada
burro,cabra_criolla,neutral,0,complementariedad_estrato_pasto,derivado,lrrd-donkey; permaculture-brazil,Burros consumen forrajes groseros y tallos; cabras ramonean hojas y ramillas; escasa competencia directa en sistemas extensivos; complementariedad posible
gallina_ponedora,gallina_criolla,antagonismo,-1,riesgo_sanitario_compartido,derivado,FAO-family-poultry; PMC9913217,Mezcla de aves de distintos origenes eleva riesgo de transmision de Newcastle Marek y otras enfermedades aviares; bioseguridad comprometida en traspatio mixto
abeja_melif,vaca_carne_cebu,sinergia,1,polinizacion,derivado,PMC10568204; silvopasture-springer,Pastos y leguminosas forrajeras en sistema silvopastoral se benefician de polinizacion por abejas; presencia de colmenas en borde de potreros mejora diversidad botanica
pato_criollo,pintada_guinea,sinergia,1,control_parasitos_pastoreo_mixto,derivado,ecofarmingdaily; naerls-nigeria,Ambas aves forrajean insectos y larvas en pastizal; suma de control biologico de plagas; sin competencia directa significativa por nicho (pato prefiere zonas humedas; pintada zonas secas)
bufalo_agua,tilapia_integrada,sinergia,1,reciclaje_estiercol,derivado,PMC8909038; lrrd-tilapia,Estiercol de bufalos en estanques asociados fertiliza fitoplancton; sistemas integrados arroz-bufalo-pez documentados en Asia; adaptable en humedales latinoamericanos
conejo,lombriz_eisenia,sinergia,2,reciclaje_estiercol,investigado,springer-eisenia; FAO-rabbit; ATTRA-rabbit,Estiercol de conejo es excelente sustrato para lombrices (alto N bajo pH); vermicompost resultante fertiliza huertas y cultivos forrajeros; circuito cerrado de nutrientes
