id,nombre_cientifico,nombre_comun,tipo,descripcion_breve,luz,temp_min_c,temp_max_c,ph_min,ph_max,agua,zona_usda_min,zona_usda_max,estrato,altura_cm_min,altura_cm_max,prof_raiz_cm,ciclo_dias,densidad_plantas_m2,espaciado_cm,fija_nitrogeno,demanda_nutrientes,valor_polinizador,comestible,valor_estetico,rendimiento_rel,precio_semilla_usd,disponibilidad,verificacion,fuente,notas
chaya,Cnidoscolus aconitifolius,Chaya; Árbol de espinaca,hortaliza_hoja,Arbusto perenne tropical; hoja muy nutritiva; nativa del área Maya,pleno_sol,18,40,5.5,7.5,baja,10,13,alto,150,250,80,365,1,100,no,baja,1,si,1,2,0.30,media,V,Springer Genetic Diversity; UIC Heritage Garden; SowExotic,Perenne; propagar por esquejes; COCINAR SIEMPRE (elimina glucósidos); resistente a sequía
quelites,Amaranthus hybridus,Quelites; Quintonil,hortaliza_hoja,Amaranto silvestre-cultivado; hoja comestible tradicional mesoamericana,pleno_sol,15,38,5.5,7.5,baja,9,12,bajo,40,120,30,45,6,40,no,baja,1,si,1,2,0.20,alta,E,FAO Agroecology; literatura mesoamericana,Estimado por analogía con Amaranthus spp.; crece como maleza útil; muy resistente al calor
yuca,Manihot esculenta,Yuca; Mandioca; Cassava,raiz_tuberculo,Arbusto tropical de raíz feculenta; base alimenticia de Latinoamérica tropical,pleno_sol,20,35,5.5,7.0,baja,10,13,alto,100,300,100,270,1,100,no,baja,0,si,0,3,0.50,alta,V,CABI; UF/IFAS Blogs; Useful Tropical Plants,Ciclo 9-18 meses; propagación por estacas; tolera suelos pobres y secos
camote,Ipomoea batatas,Camote; Boniato,raiz_tuberculo,Convolvulácea rastrera tropical de tubérculo dulce; muy adaptable,pleno_sol,18,38,5.5,7.0,media,9,12,rastrero,30,50,60,120,2,50,no,baja,2,si,2,3,0.50,alta,V,Tropical Self-Sufficiency; Tico Times; CABI,Propagación por guías; cubre suelo; tolerante a calor y sequía moderada
zanahoria,Daucus carota,Zanahoria,raiz_tuberculo,Apiacea de raíz anaranjada; mejor en zonas frescas o altitudes medias del trópico,pleno_sol,7,28,6.0,6.8,media,6,10,bajo,20,40,40,75,16,25,no,media,1,si,0,2,0.50,alta,V,FAO; NCSU Extension,Familia Apiaceae; compartir plagas con cilantro pero beneficiarse mutuamente del aroma
rabano,Raphanus sativus,Rábano,raiz_tuberculo,Crucífera de ciclo muy corto; útil como indicador biológico del suelo,pleno_sol,7,25,5.8,6.8,media,6,11,bajo,10,30,20,30,16,25,no,baja,0,si,0,2,0.30,alta,V,FAO; NCSU Extension,Familia Brassicaceae; ciclo muy rápido; uso como trampa para escarabajos de la tierra
jicama,Pachyrhizus erosus,Jícama; Ajipa,raiz_tuberculo,Leguminosa tropical de raíz comestible y crujiente; solo la raíz es comestible,pleno_sol,21,38,6.0,7.0,media,10,12,bajo,100,200,80,180,1,100,si,baja,2,si,1,2,0.80,media,V,ECHO Community; PFAF; Wikipedia Pachyrhizus,Fija N por ser leguminosa; semillas y vainas SON TÓXICAS; solo comer la raíz
malanga,Colocasia esculenta,Malanga; Taro; Ñame,raiz_tuberculo,Arácea tropical de cormo feculento; muy popular en el Caribe,sol_parcial,18,38,5.5,7.0,alta,9,12,bajo,60,150,50,180,2,50,no,media,1,si,2,2,1.00,media,V,CABI; Useful Tropical Plants,Requiere suelo constantemente húmedo; cormos e incluso hojas son comestibles cocidas
frijol_negro,Phaseolus vulgaris,Frijol negro,leguminosa,Leguminosa anual trepadora; base proteínica del huerto mesoamericano,pleno_sol,15,30,6.0,7.5,media,8,12,trepador,60,200,50,75,8,35,si,baja,1,si,0,3,0.50,alta,V,Springer Nitrogen Fixation; PMC Costa Rica Bean,Fija N atmosférico; pilar del sistema milpa; sensible a heladas
frijol_voluble,Phaseolus vulgaris,Frijol voluble; Frijol ejote,leguminosa,Variedad de frijol de enrame; produce ejotes y grano; ciclo más largo,pleno_sol,15,30,6.0,7.5,media,8,12,trepador,100,300,50,90,4,50,si,baja,1,si,0,3,0.50,alta,V,FAO; Springer Milpa Intercropping,Necesita soporte (maíz o estaca); misma especie que frijol negro
caraota,Vigna unguiculata,Caraota; Frijol caraota; Cowpea,leguminosa,Leguminosa tropical muy tolerante al calor y sequía; muy cultivada en Venezuela-Colombia,pleno_sol,20,38,5.5,7.5,baja,10,13,medio,40,80,60,65,6,40,si,baja,1,si,0,2,0.50,alta,V,FAO; CABI; Useful Tropical Plants,Alta tolerancia a calor y suelos ácidos; excelente para trópico húmedo
gandul,Cajanus cajan,Gandul; Guandú; Quinchoncho,leguminosa,Arbusto leguminoso perenne; multipropósito; pilar de la agroforestía tropical,pleno_sol,18,35,5.0,7.0,baja,9,12,alto,100,400,200,240,1,100,si,baja,2,si,1,2,0.50,alta,V,PFAF; Springer Nitrogen Fixation; Frontiers Agronomy,Fija 40-235 kg N/ha/año; perenne 3-5 años; excelente cortavientos y sombra parcial
haba,Vicia faba,Haba,leguminosa,Leguminosa de estación fresca; mejor en altitudes >1000 m en el trópico,pleno_sol,5,22,6.0,7.0,media,7,10,medio,50,100,60,120,6,40,si,media,2,si,0,2,0.60,media,V,FAO; NCSU Extension,Sensible al calor; en trópico bajo solo en temporada fresca o altitudes altas
cacahuate,Arachis hypogaea,Cacahuate; Maní; Maní,leguminosa,Leguminosa de fruto subterráneo; muy adaptada al trópico y subtrópico,pleno_sol,20,35,5.5,7.0,media,9,12,rastrero,30,60,40,120,6,40,si,media,0,si,0,3,0.80,alta,V,FAO; CABI,Fija N; necesita suelo suelto para desarrollo del fruto; intolerante a encharcamiento
maiz,Zea mays,Maíz,graminea,Gramínea anual emblemática de la milpa; soporte estructural del sistema de tres hermanas,pleno_sol,10,38,5.8,7.0,alta,8,12,alto,150,350,100,90,5,45,no,alta,2,si,2,3,0.50,alta,V,Britannica Milpa; Scientific Reports Guatemala; Nature PMC,Pilar del sistema milpa; estructura para frijol trepador; alto demandante de N
albahaca,Ocimum basilicum,Albahaca,aromatica,Labiada aromática tropical; compañera clásica del tomate; repele insectos,pleno_sol,15,38,6.0,7.5,media,9,12,bajo,30,60,20,60,6,40,no,baja,2,si,2,1,0.50,alta,V,PMC Volatile Signaling; VCCS Student Writing; NCSU,Emite volátiles que repelen mosca blanca y mejoran sabor del tomate; sensible a heladas
cilantro,Coriandrum sativum,Cilantro; Coriandro,aromatica,Apiacea aromática de ciclo corto; atrae benéficos en floración,pleno_sol,7,28,6.0,7.0,media,7,11,bajo,20,50,15,45,9,33,no,baja,3,si,1,1,0.30,alta,V,HGTV; Gardening Know How; Gardener's Path,Familia Apiaceae; florece y atrae parasitoides y sírfidos; bolting a >28 C
culantro,Eryngium foetidum,Culantro; Recao; Chadon beni,aromatica,Apiacea tropical perenne; sustituto del cilantro en zonas calientes; no bolting,sol_parcial,18,38,5.5,7.0,alta,10,12,bajo,30,60,20,60,9,33,no,baja,2,si,1,1,0.40,media,V,ECHO Community; Caribbean literature,Tolera el calor extremo donde cilantro no puede; muy aromático
epazote,Dysphania ambrosioides,Epazote; Paico,aromatica,Quenopodiácea aromática medicinal; insecticida natural suave; planta asociada al frijol,pleno_sol,15,38,5.5,7.5,baja,9,12,bajo,60,100,20,60,4,50,no,baja,1,si,1,1,0.20,alta,V,NCSU Extension; Gardening Know How; PVAMU Fact Sheet,Ascaridole inhibe crecimiento de vecinos próximos; mejor a >30 cm; repele plagas
oregano,Origanum vulgare,Orégano,aromatica,Labiada perenne aromática; repelente de plagas y condimento clave latinoamericano,pleno_sol,10,35,6.0,8.0,baja,5,11,bajo,20,50,20,90,4,50,no,baja,2,si,1,1,0.50,alta,V,FAO; NCSU Extension,Perenne; muy resistente a sequía; atrae abejas en floración
hierbabuena,Mentha spicata,Hierbabuena,aromatica,Menta cultivada de aroma intenso; repele áfidos y mosca blanca,sol_parcial,10,32,6.0,7.5,alta,5,11,bajo,20,60,20,60,6,40,no,baja,2,si,1,1,0.50,alta,V,FAO; NCSU Extension,Invasiva si no se contiene; usar maceta o barreras; perenne
romero,Salvia rosmarinus,Romero,aromatica,Arbustiva mediterránea adaptada al trópico seco; repele insectos,pleno_sol,7,35,6.0,8.0,baja,7,11,bajo,50,150,40,120,1,100,no,baja,2,si,2,1,0.80,alta,V,FAO; NCSU Extension,Perenne; muy resistente a sequía una vez establecido; repele mosca de la zanahoria
calendula,Calendula officinalis,Caléndula,flor,Asterácea ornamental-funcional; raíces secretan compuestos nematicidas,pleno_sol,5,28,5.5,7.0,media,6,11,bajo,30,60,20,55,6,40,no,baja,3,si,3,2,0.30,alta,V,ScienceDirect Nematodes; Laidback Gardener,Secretar alfa-tertieno por raíces; efectiva vs. nematodos SOLO en cultivo prolongado (>2 meses); atrae polinizadores
tagetes,Tagetes erecta,Cempasúchil; Maravilla,flor,Asterácea nativa de México; ampliamente usada como repelente de nematodos y plagas,pleno_sol,10,38,6.0,7.5,media,8,12,bajo,30,90,20,60,4,50,no,baja,3,si,3,2,0.30,alta,V,ScienceDirect Tagetes Nematodes; ResearchGate Review Nematicides; PMC Whitefly Limonene,Limoneno aereo repele mosca blanca; alfa-tertieno en raíces reduce nematodos; requiere 2-4 meses de cultivo
girasol,Helianthus annuus,Girasol,flor,Asterácea de gran estatura; atrae polinizadores pero tiene efecto alelopático,pleno_sol,10,35,6.0,7.5,media,8,11,alto,100,300,80,90,1,100,no,media,3,si,3,2,0.30,alta,V,Organic Gardening 101; PSU Extension; Blooming Backyard,Alelopático: raíces inhiben frijol y algunas hortalizas; plantar en bordes; compatible con calabaza
capuchina,Tropaeolum majus,Capuchina; Mastuerzo,flor,Planta ornamental-funcional; trampa para áfidos y repelente de escarabajos,pleno_sol,7,30,6.0,8.0,baja,8,11,rastrero,30,60,20,55,4,50,no,baja,3,si,3,2,0.30,alta,V,Laidback Gardener; Gardening Know How; Epic Gardening,Trampa para áfidos (especialmente amarilla); repele escarabajos del pepino y mosca blanca; toda la planta es comestible
mucuna,Mucuna pruriens var. utilis,Mucuna; Frijol terciopelo,abono_verde,Leguminosa trepadora de abono verde; alta fijación de N; supresora de malezas,pleno_sol,20,38,5.0,7.5,media,10,13,trepador,200,500,100,120,1,200,si,baja,1,no,0,1,0.80,media,V,Maxapress CAS; CGIAR Nitrogen Fixation; ResearchGate Bioherbicide,Fija 150-200 kg N/ha; suprime malezas eficazmente; no comer semillas sin procesamiento especial
crotalaria,Crotalaria juncea,Crotalaria; Sunn Hemp,abono_verde,Leguminosa herbácea de rápido crecimiento; excelente fijación de N y nematicida natural,pleno_sol,18,38,5.5,7.5,media,10,12,alto,100,200,80,90,2,50,si,baja,1,no,1,1,0.60,media,V,Frontiers Agronomy; Wiley Legume Science; Springer Nitrogen Fixation,Fija 100-200 kg N/ha; compuestos de raíz reducen nematodos; no pastorear (alcaloides)
canavalia,Canavalia ensiformis,Canavalia; Frijol espada,abono_verde,Leguminosa de cobertura muy tolerante; efectiva en suelos degradados del trópico,pleno_sol,15,38,4.5,8.0,baja,9,13,medio,60,120,120,90,2,70,si,baja,0,no,0,1,0.60,media,V,ECHO Community; CABI; tropical.theferns.info,Muy tolerante a sequía y suelos ácidos pobres; intercalable con maíz y cacao
